#{"t_start": 1743512949.6936781, "env_id": "None"}
r,l,t
-3.0,1,2.308316
10.0,1,2.308499
10.0,1,2.308995
-3.0,1,2.314487
-3.0,1,2.315303
5.0,1,2.315845
-3.0,1,2.316082
10.0,1,2.320834
10.0,1,2.321077
10.0,1,2.321354
-3.0,1,2.321876
10.0,1,2.324699
-3.0,1,2.324923
-3.0,1,2.326035
5.0,1,2.326301
-3.0,1,2.331223
10.0,1,2.331504
10.0,1,2.331696
-3.0,1,2.33188
10.0,1,2.33495
10.0,1,2.33522
10.0,1,2.335423
-3.0,1,2.335603
10.0,1,2.340509
5.0,1,2.340738
10.0,1,2.34092
10.0,1,2.341865
-3.0,1,2.344541
5.0,1,2.344768
10.0,1,2.344927
10.0,1,2.345097
5.0,1,2.350183
-3.0,1,2.350502
-3.0,1,2.351787
5.0,1,2.352144
10.0,1,2.355729
-3.0,1,2.356048
-3.0,1,2.356258
10.0,1,2.356494
-3.0,1,2.35984
5.0,1,2.360075
-3.0,1,2.360237
10.0,1,2.360388
10.0,1,2.366073
10.0,1,2.366301
-3.0,1,2.367127
10.0,1,2.367375
10.0,1,2.370671
10.0,1,2.371016
10.0,1,2.371209
10.0,1,2.371391
-3.0,1,2.374692
5.0,1,2.375006
10.0,1,2.37614
10.0,1,2.376329
10.0,1,2.379818
10.0,1,2.382125
-3.0,1,2.382459
-3.0,1,2.382717
5.0,1,2.385572
5.0,1,2.385916
10.0,1,2.38618
-3.0,1,2.38642
-3.0,1,2.390607
10.0,1,2.390838
10.0,1,2.391
10.0,1,2.391149
10.0,1,2.394578
10.0,1,2.394893
-3.0,1,2.395373
-3.0,1,2.395563
5.0,1,2.399906
10.0,1,2.400251
10.0,1,2.401461
-3.0,1,2.401695
5.0,1,2.405082
10.0,1,2.405628
10.0,1,2.405842
10.0,1,2.406056
-3.0,1,2.408814
-3.0,1,2.409037
10.0,1,2.409196
10.0,1,2.409344
-3.0,1,2.415407
10.0,1,2.415734
10.0,1,2.416649
-3.0,1,2.416926
-3.0,1,2.420371
10.0,1,2.420879
-3.0,1,2.421081
10.0,1,2.421295
10.0,1,2.424548
10.0,1,2.424804
-3.0,1,2.426006
5.0,1,2.426236
10.0,1,2.4305
10.0,1,2.430953
10.0,1,2.431863
5.0,1,2.432125
10.0,1,2.434642
10.0,1,2.435002
10.0,1,2.435243
-3.0,1,2.435469
5.0,1,2.44036
10.0,1,2.440634
-3.0,1,2.440824
10.0,1,2.441342
10.0,1,2.44442
5.0,1,2.444952
10.0,1,2.445235
-3.0,1,2.445619
10.0,1,2.449643
5.0,1,2.449886
5.0,1,2.451013
10.0,1,2.451231
10.0,1,2.454356
10.0,1,2.455013
10.0,1,2.455317
-3.0,1,2.455569
10.0,1,2.459235
5.0,1,2.459505
10.0,1,2.460076
5.0,1,2.460301
-3.0,1,2.465683
10.0,1,2.465913
-3.0,1,2.466077
10.0,1,2.466299
5.0,1,2.469573
10.0,1,2.469976
-3.0,1,2.470291
-3.0,1,2.470684
10.0,1,2.474045
10.0,1,2.474264
10.0,1,2.475616
5.0,1,2.475864
10.0,1,2.478331
-3.0,1,2.478806
10.0,1,2.479582
10.0,1,2.481216
10.0,1,2.484776
-3.0,1,2.485016
10.0,1,2.485184
10.0,1,2.485335
-3.0,1,2.490238
